Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114055,Calibration,CC9-03022018-114055
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
1559,0.313169,12.7716,0,12.5926,1.43986,0.66769,0.313169,0.178995,1939.03,0.465682,12.9171,0
1568,0.310845,12.7418,0,12.5926,-0.258231,-3.31807,0.310845,0.149132,1933.21,0.285632,12.701,0
1577,0.310258,12.7385,0,12.5926,-0.065203,-0.364512,0.310258,0.145852,1928.84,0.400432,12.8663,0
1588,0.298231,12.6939,0,12.5926,-1.09338,-4.05084,0.298231,0.101292,1926.7,0.265471,12.674,0
1598,0.259274,12.6874,0,12.5926,-3.89567,-0.650118,0.259274,0.0947911,1925.97,0.179745,12.6489,0
1611,0.255203,12.6635,0,12.5926,-0.313175,-1.84378,0.255203,0.0708219,1925.62,0.148304,12.6995,0
1621,0.252942,12.6326,0,12.5926,-0.226063,-3.0873,0.252942,0.0399489,1925.45,0.103954,12.578,0
1629,0.271509,12.6078,0,12.5926,2.32088,-3.09344,0.271509,0.0152014,1925.57,0.356281,12.5944,0
1636,0.307528,12.4726,0,12.5926,5.14564,-19.3214,0.307528,-0.120048,1925.79,0.319847,12.3117,0
1648,0.302822,12.4009,0,12.5926,-0.392165,-5.97068,0.302822,-0.191696,1926.04,0.273126,12.3693,0
1655,0.309396,12.3972,0,12.5926,0.93909,-0.52677,0.309396,-0.195384,1926.91,0.213493,12.3235,0
1667,0.310952,12.3995,0,12.5926,0.129659,0.184045,0.310952,-0.193175,1929.53,0.358401,12.4497,0
1675,0.340737,12.4504,0,12.5926,3.72308,6.36491,0.340737,-0.142256,1934.09,0.323147,12.4564,0
1687,0.37091,12.4502,0,12.5926,2.51442,-0.016009,0.37091,-0.142448,1938.53,0.433617,12.468,0
1695,0.384196,12.4492,0,12.5926,1.66079,-0.118618,0.384196,-0.143397,1940.94,0.38869,12.4475,0
1707,0.385273,12.4547,0,12.5926,0.0897602,0.456646,0.385273,-0.137917,1941.54,0.376634,12.4094,0
1715,0.385268,12.4547,0,12.5926,-0.000592549,-0.00602145,0.385268,-0.137965,1941.27,0.344058,12.5004,0
1728,0.384385,12.4542,0,12.5926,-0.0679478,-0.0380293,0.384385,-0.13846,1940.74,0.393117,12.4601,0
1735,0.362156,12.4425,0,12.5926,-3.17562,-1.66545,0.362156,-0.150118,1940.38,0.340978,12.4248,0
1748,0.309596,12.4263,0,12.5926,-4.04307,-1.25026,0.309596,-0.166371,1940.4,0.216139,12.4132,0
1756,0.244421,12.4273,0,12.5926,-8.14684,0.128554,0.244421,-0.165343,1940.97,0.197914,12.4313,0
1767,0.202311,12.4319,0,12.5926,-3.8282,0.420161,0.202311,-0.160721,1942.32,0.124272,12.4485,0
1776,0.197946,12.4328,0,12.5926,-0.485001,0.0952562,0.197946,-0.159864,1944.59,0.184302,12.4287,0
1787,0.198612,12.4406,0,12.5926,0.0606024,0.71095,0.198612,-0.152043,1947.59,0.234336,12.4425,0
1795,0.198858,12.4379,0,12.5926,0.0307156,-0.333521,0.198858,-0.154711,1950.91,0.203735,12.4481,0
1807,0.210144,12.4339,0,12.5926,0.940486,-0.337811,0.210144,-0.158765,1954.48,0.447608,12.5067,0
1818,0.206642,12.3939,0,12.5926,-0.318328,-3.63611,0.206642,-0.198762,1958.36,0.231643,12.3268,0
1826,0.201335,12.3424,0,12.5926,-0.663375,-6.43824,0.201335,-0.250268,1962.09,0.169123,12.3474,0
1842,0.196952,12.3368,0,12.5926,-0.273976,-0.346921,0.196952,-0.255819,1964.89,0.188017,12.3581,0
1848,0.179832,12.3388,0,12.5926,-2.85331,0.330581,0.179832,-0.253836,1966.58,0.158021,12.3319,0
1858,0.179851,12.3465,0,12.5926,0.00186919,0.769417,0.179851,-0.246141,1967.6,0.183189,12.3164,0
1866,0.189511,12.4368,0,12.5926,1.20751,11.2924,0.189511,-0.155802,1968.35,0.140043,12.627,0
1879,0.212923,12.5245,0,12.5926,1.80096,6.7477,0.212923,-0.0680824,1969.01,0.282579,12.5561,0
1886,0.247484,12.5244,0,12.5926,4.93723,-0.0263743,0.247484,-0.0682671,1969.71,0.262792,12.5266,0
1898,0.271155,12.5216,0,12.5926,1.97257,-0.227243,0.271155,-0.070994,1971.09,0.327484,12.503,0
